"dataset","land_cover","scene_id","scene_id2","gee_id"
"SPARCS","shrubland","LC80010812013365LGN00","LC08_001081_20131231","LANDSAT/LC08/C02/T1_TOA/LC08_001081_20131231"
"SPARCS","forest","LC80020622013244LGN00","LC08_002062_20130901","LANDSAT/LC08/C02/T1_TOA/LC08_002062_20130901"
"SPARCS","snow/ice","LC80050152014172LGN00","LC08_005015_20140621","LANDSAT/LC08/C02/T1_TOA/LC08_005015_20140621"
"SPARCS","grass/crops","LC80050562014076LGN00","LC08_005056_20140317","LANDSAT/LC08/C02/T1_TOA/LC08_005056_20140317"
"SPARCS","forest","LC80150242014146LGN00","LC08_015024_20140526","LANDSAT/LC08/C02/T1_TOA/LC08_015024_20140526"
"SPARCS","grass/crops","LC80190352014078LGN01","LC08_019035_20140319","LANDSAT/LC08/C02/T1_TOA/LC08_019035_20140319"
"SPARCS","forest","LC80200462014213LGN00","LC08_020046_20140801","LANDSAT/LC08/C02/T1_TOA/LC08_020046_20140801"
"SPARCS","urban","LC80250402013245LGN00","LC08_025040_20130902","LANDSAT/LC08/C02/T1_TOA/LC08_025040_20130902"
"SPARCS","forest","LC80250482014072LGN00","LC08_025048_20140313","LANDSAT/LC08/C02/T1_TOA/LC08_025048_20140313"
"SPARCS","forest","LC80310432013207LGN00","LC08_031043_20130726","LANDSAT/LC08/C02/T1_TOA/LC08_031043_20130726"
"SPARCS","grass/crops","LC80320282013182LGN00","LC08_032028_20130701","LANDSAT/LC08/C02/T1_TOA/LC08_032028_20130701"
"SPARCS","shrubland","LC80340412013132LGN01","LC08_034041_20130512","LANDSAT/LC08/C02/T1_TOA/LC08_034041_20130512"
"SPARCS","shrubland","LC80380362013144LGN00","LC08_038036_20130524","LANDSAT/LC08/C02/T1_TOA/LC08_038036_20130524"
"SPARCS","grass/crops","LC80390152013215LGN00","LC08_039015_20130803","LANDSAT/LC08/C02/T1_TOA/LC08_039015_20130803"
"SPARCS","grass/crops","LC80430352013243LGN00","LC08_043035_20130831","LANDSAT/LC08/C02/T1_TOA/LC08_043035_20130831"
"SPARCS","forest","LC80470252014226LGN00","LC08_047025_20140814","LANDSAT/LC08/C02/T1_TOA/LC08_047025_20140814"
"SPARCS","water","LC80500162014247LGN00","LC08_050016_20140904","LANDSAT/LC08/C02/T1_TOA/LC08_050016_20140904"
"SPARCS","forest","LC80630462013191LGN00","LC08_063046_20130710","LANDSAT/LC08/C02/T1_TOA/LC08_063046_20130710"
"SPARCS","water","LC80750722014022LGN00","LC08_075072_20140122","LANDSAT/LC08/C02/T1_TOA/LC08_075072_20140122"
"SPARCS","water","LC80750962014038LGN00","LC08_075096_20140207","LANDSAT/LC08/C02/T1_TOA/LC08_075096_20140207"
"SPARCS","snow/ice","LC80760912014013LGN00","LC08_076091_20140113","LANDSAT/LC08/C02/T1_TOA/LC08_076091_20140113"
"SPARCS","forest","LC80800142014169LGN00","LC08_080014_20140618","LANDSAT/LC08/C02/T1_TOA/LC08_080014_20140618"
"SPARCS","forest","LC80900832013220LGN00","LC08_090083_20130808","LANDSAT/LC08/C02/T1_TOA/LC08_090083_20130808"
"SPARCS","forest","LC80910892014006LGN00","LC08_091089_20140106","LANDSAT/LC08/C02/T1_TOA/LC08_091089_20140106"
"SPARCS","barren","LC80940802014092LGN00","LC08_094080_20140402","LANDSAT/LC08/C02/T1_TOA/LC08_094080_20140402"
"SPARCS","barren","LC80980732014008LGN00","LC08_098073_20140108","LANDSAT/LC08/C02/T1_TOA/LC08_098073_20140108"
"SPARCS","water","LC81020642014004LGN00","LC08_102064_20140104","LANDSAT/LC08/C02/T1_TOA/LC08_102064_20140104"
"SPARCS","barren","LC81060772014064LGN00","LC08_106077_20140305","LANDSAT/LC08/C02/T1_TOA/LC08_106077_20140305"
"SPARCS","grass/crops","LC81110822013288LGN00","LC08_111082_20131015","LANDSAT/LC08/C02/T1_TOA/LC08_111082_20131015"
"SPARCS","forest","LC81130672013142LGN01","LC08_113067_20130522","LANDSAT/LC08/C02/T1_TOA/LC08_113067_20130522"
"SPARCS","grass/crops","LC81140272013261LGN00","LC08_114027_20130918","LANDSAT/LC08/C02/T1_TOA/LC08_114027_20130918"
"SPARCS","forest","LC81140622013277LGN00","LC08_114062_20131004","LANDSAT/LC08/C02/T1_TOA/LC08_114062_20131004"
"SPARCS","forest","LC81180602014116LGN00","LC08_118060_20140426","LANDSAT/LC08/C02/T1_TOA/LC08_118060_20140426"
"SPARCS","forest","LC81220242014240LGN00","LC08_122024_20140828","LANDSAT/LC08/C02/T1_TOA/LC08_122024_20140828"
"SPARCS","grass/crops","LC81230362013276LGN00","LC08_123036_20131003","LANDSAT/LC08/C02/T1_TOA/LC08_123036_20131003"
"SPARCS","water","LC81250542014181LGN00","LC08_125054_20140630","LANDSAT/LC08/C02/T1_TOA/LC08_125054_20140630"
"SPARCS","forest","LC81250622013178LGN01","LC08_125062_20130627","LANDSAT/LC08/C02/T1_TOA/LC08_125062_20130627"
"SPARCS","barren","LC81280422014074LGN00","LC08_128042_20140315","LANDSAT/LC08/C02/T1_TOA/LC08_128042_20140315"
"SPARCS","water","LC81330492014141LGN00","LC08_133049_20140521","LANDSAT/LC08/C02/T1_TOA/LC08_133049_20140521"
"SPARCS","forest","LC81340422013257LGN00","LC08_134042_20130914","LANDSAT/LC08/C02/T1_TOA/LC08_134042_20130914"
"SPARCS","forest","LC81360162013159LGN00","LC08_136016_20130608","LANDSAT/LC08/C02/T1_TOA/LC08_136016_20130608"
"SPARCS","forest","LC81360162014210LGN00","LC08_136016_20140729","LANDSAT/LC08/C02/T1_TOA/LC08_136016_20140729"
"SPARCS","snow/ice","LC81370412014105LGN00","LC08_137041_20140415","LANDSAT/LC08/C02/T1_TOA/LC08_137041_20140415"
"SPARCS","water","LC81370452014073LGN00","LC08_137045_20140314","LANDSAT/LC08/C02/T1_TOA/LC08_137045_20140314"
"SPARCS","barren","LC81400372014158LGN00","LC08_140037_20140607","LANDSAT/LC08/C02/T1_TOA/LC08_140037_20140607"
"SPARCS","grass/crops","LC81460442013293LGN00","LC08_146044_20131020","LANDSAT/LC08/C02/T1_TOA/LC08_146044_20131020"
"SPARCS","snow/ice","LC81480352013195LGN00","LC08_148035_20130714","LANDSAT/LC08/C02/T1_TOA/LC08_148035_20130714"
"SPARCS","snow/ice","LC81490372013362LGN00","LC08_149037_20131228","LANDSAT/LC08/C02/T1_TOA/LC08_149037_20131228"
"SPARCS","barren","LC81500412014244LGN00","LC08_150041_20140901","LANDSAT/LC08/C02/T1_TOA/LC08_150041_20140901"
"SPARCS","water","LC81500442013145LGN00","LC08_150044_20130525","LANDSAT/LC08/C02/T1_TOA/LC08_150044_20130525"
"SPARCS","wetlands","LC81540102013205LGN00","LC08_154010_20130724","LANDSAT/LC08/C02/T1_TOA/LC08_154010_20130724"
"SPARCS","wetlands","LC81550232014135LGN00","LC08_155023_20140515","LANDSAT/LC08/C02/T1_TOA/LC08_155023_20140515"
